Rank	Protein	Mean rank	Overlapping Proteins
11	MAPK1	54.82	RB1,USP6NL,SCARB1,CALML3,MT1X,MT2A,GRB14,UBAP2L,LZTS2,CHGB,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MAGI2,NPY1R,ANK2,ANK3,ATP1B1,ANK1,HSPG2,SLC9A3,ILF3,SLC9A4,MAP1B,PARD3,GPD1,MT1F,PPIF,MT1G,ATP6V1A,NCAPG,RAP1GAP,PIK3R5,SDCBP,EPB41L3,MYH10,PCK2,GSTM3,CAV2,EPHX2,IDH1,L1CAM,VIL1,ALDH6A1,HNRNPK,TH,NASP,LHX1,TOP2A,CDKN1C,LRRK2,PTPRO,HSPB1,ARHGEF10L,FMN2,PTH1R,SIPA1L2,PEPD,SYNE2,PHF8,AKAP12,BLNK,CA9,NOS1,NEFH,PARP4,FCER1G,MME,DST,ZFP91,PROX1,OSMR,DUSP9,CIT,PARD3B,APBB1IP,GAP43,LATS2,PLCB4,SLC7A8,PALLD,KCNMA1,ATP6V1B2,PLIN2,ALDOB,ARHGEF7,PLCB1,DOCK2,SLC25A5,MET,ARHGEF6,PLEC,TOR4A,DDC,TAGLN,AHNAK,UHRF1,LRP2,HSPD1,BCLAF1,PDLIM2,TCOF1,NPY,RANBP2,PKLR,PLCL1,AP3D1,PTPN13,SOD3,PLEKHA7,SUCLA2,NPHS1,GSTA1,ACIN1,PFKP
12	PRKCD	55.55	RB1,TOP2A,LRRK2,PTPRO,HSPB1,CALML3,FMN2,SIPA1L2,TRIOBP,GRB14,BLNK,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,FCER1G,MME,USP2,MAGI2,SORD,ANK2,ANK3,ATP1B1,OSMR,ANK1,MLF1,CIT,GAP43,LATS2,PLCB4,PALLD,PITPNM3,PARD3,PLCB1,DOCK2,SLC25A5,ARHGEF7,FBP1,MET,PLEC,TAGLN,AHNAK,NCAPG,LRP2,RASAL3,HSPD1,PIK3R5,SDCBP,BCLAF1,PDLIM2,EPB41L1,EPB41L3,MYH10,RANBP2,PLCL1,AP3D1,PTPN13,SOD3,PLEKHA7,HNRNPK,TH,NPHS1,PSAT1,ACIN1,ACO1,LPIN2
13	PRKCB	58.8	RB1,TOP2A,TAGLN,UHRF1,LRRK2,PTPRO,CALML3,RASAL3,HSPD1,PIK3R5,PHF8,AKAP12,PDLIM2,EPB41L1,EPB41L3,BLNK,NOS1,MYH10,RANBP2,PDGFRB,PDGFRA,CASR,FCER1G,PARP4,MYO7B,L1CAM,DUSP9,MPP7,CIT,PARD3B,GAP43,ILF3,PLCB4,LATS2,GJB1,NPHS1,PARD3,PITPNM3,KCNMA1,ACIN1,DOCK2,PLCB1,LPIN2,MET,PLEC
14	PRKD1	59	MTCH2,LRRK2,PTPRO,HSPB1,TGOLN2,AKAP12,MT2A,BLNK,NOS1,PCK1,MYH10,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,DST,PLCL1,AP3D1,ANK2,PDZK1,PTPN13,ASS1,CIT,APBB1IP,LATS2,PLCB4,NPHS1,NPHS2,MAP1B,PLCB1,ARHGEF7,LPIN2,MET,ARHGEF6
15	PRKCG	61.56	TOP2A,RB1,LRRK2,CALML3,PEPD,RAP1GAP,HSPD1,DDN,PDLIM2,EPB41L1,NPY,TCEAL2,MAP6,NOS1,DLGAP2,NEFH,MYH10,CHGB,SPTBN2,PDGFRB,RANBP2,PDGFRA,CASR,TMEM132E,EPHX2,USP2,MYO7B,ANK2,L1CAM,ANK1,MPP7,CIT,PARD3B,GAP43,PLCB4,LATS2,GJB1,TH,PARD3,MAP1B,PITPNM3,PLCB1,ARHGEF7,LPIN2,MET,PLEC,ARHGEF6
16	MAPK3	62.45	RB1,SCARB1,CALML3,MT1X,MT2A,GRB14,CHGB,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MAGI2,NPY1R,ANK2,ANK3,PDZK1,ATP1B1,ANK1,HSPG2,SLC9A3,ILF3,SLC9A4,MAP1B,PARD3,GPD1,MT1F,PPIF,MT1G,SCG2,RABL6,ATP6V1A,RAP1GAP,PIK3R5,SDCBP,EPB41L3,PCK1,MYH10,PCK2,GSTM3,CAV2,EPHX2,IDH1,L1CAM,VIL1,HNRNPK,GJB1,TH,NASP,ACO1,TOP2A,CDKN1C,LRRK2,PTPRO,HSPB1,ARHGEF10L,FMN2,PTH1R,SIPA1L2,PEPD,SYNE2,PHF8,AKAP12,BLNK,CA9,NOS1,NEFH,FCER1G,PARP4,MME,DST,SORD,ZFP91,PROX1,OSMR,DUSP9,CIT,PARD3B,APBB1IP,GAP43,PLCB4,LATS2,PALLD,KCNMA1,ATP6V1B2,PLIN2,ALDOB,ARHGEF7,PLCB1,SLC25A5,DOCK2,MET,ARHGEF6,PLEC,TAGLN,DDC,AHNAK,UHRF1,LRP2,HSPD1,TCOF1,NPY,RANBP2,PKLR,PLCL1,SLC12A1,AP3D1,PTPN13,SOD3,PLEKHA7,NPHS1,NPHS2,GSTA1,ACIN1,LAMTOR1
17	PRKCZ	65.55	CDKN1C,PECR,LRRK2,PTPRO,HSPB1,SLC4A4,TRIOBP,KIF15,AKAP12,GRB14,PRX,BLNK,NEFH,TNS1,PDGFRB,PDGFRA,DAXX,USP2,ANK2,ANK3,PDZK1,ATP1B1,DUSP9,HSPG2,CIT,PARD3B,SLC9A3,LATS2,PLCB4,PARD3,PITPNM3,MAP1B,PLCB1,DOCK2,ARHGEF7,SLC25A5,MET,ARHGEF6,UHRF1,RAP1GAP,HSPD1,PIK3R5,DDN,PDLIM2,EPB41L1,EPB41L3,MYH10,SPTBN2,PCK2,PKLR,PLCL1,CGN,L1CAM,PTPN13,PLEKHA7,MPP7,VIL1,HNRNPK,TH,NPHS1,NASP,NPHS2,KIF4A,LHX1,ACIN1,TJP3
18	PTK2	68.45	RB1,LRRK2,PTPRO,HSPB1,PEPD,TRIOBP,SYNE2,AKAP12,PCM1,GRB14,BLNK,CA9,NOS1,NEFH,TNS1,CHGB,PDGFRB,PDGFRA,DAXX,FCER1G,DST,MAGI2,NPY1R,MYO7B,PROX1,HSPG2,CIT,APBB1IP,SLC9A3,LATS2,PALLD,MAP1B,PARD3,KCNMA1,ARHGEF7,DOCK2,FBP1,MET,ARHGEF6,PLEC,SDCBP,ADGRG1,PDLIM2,EPB41L1,EPB41L3,MYH10,SPTBN2,CAV2,EPHX2,MICAL3,PTPN13,L1CAM,HNRNPK,NASP,NPHS1,LHX1,TJP3
19	MAPK14	68.82	RB1,USP6NL,CDKN1C,SCARB1,LRRK2,PTPRO,HSPB1,ARHGEF10L,CALML3,FMN2,SIPA1L2,BICD1,TRIOBP,PHF8,MT2A,GRB14,BLNK,UBAP2L,NOS1,NEFH,TNS1,PDGFRB,PDGFRA,DAXX,CASR,FCER1G,DST,MAGI2,SORD,ZFP91,ANK2,ANK3,PROX1,ATP1B1,OSMR,ANK1,DUSP9,HSPG2,CIT,SLC9A3,SLC9A4,GAP43,ILF3,LATS2,PLCB4,PALLD,MAP1B,GPD1,KCNMA1,ATP6V1B2,PLIN2,ARHGEF7,DOCK2,PLCB1,MET,RABL6,ARHGEF6,ATP6V1A,TBC1D9B,AHNAK,UHRF1,RAP1GAP,HSPD1,SDCBP,PDLIM2,EPB41L1,NPY,EPB41L3,PCK1,MYH10,PCK2,RANBP2,IRX1,GSTM3,CAV2,EPHX2,PLCL1,PTPN13,SOD3,PLEKHA7,HNRNPK,TH,NPHS1,ACIN1,ACO1
20	TGFBR2	70.8	RB1,CDKN1C,MTCH2,LRRK2,PTPRO,FMN2,PTH1R,SYNE2,MT2A,BLNK,TNS1,PDGFRB,PDGFRA,DAXX,FCER1G,MME,ANK2,ANK3,PDZK1,PROX1,OSMR,ANK1,HSPG2,CIT,PARD3B,LATS2,PLCB4,MAP1B,PARD3,PPIF,ARHGEF7,DOCK2,PLCB1,MET,ARHGEF6,PLEC,TAGLN,AHNAK,NCAPG,HSPD1,PDLIM2,EPB41L3,RANBP2,PKLR,CAV2,IDH1,PLCL1,CGN,L1CAM,PTPN13,CENPF,HNRNPK,ACIN1
21	PIK3C2B	73.5	RB1,TOP2A,TBC1D9B,LRRK2,WIZ,CALML3,PIK3R5,KIF15,PHF8,PTDSS1,TNS1,SPTBN2,PDGFRB,PDGFRA,SLC6A19,IDH1,PLCL1,USP2,ANK2,ANK3,L1CAM,ANK1,DUSP9,PLEKHA7,CIT,PARD3B,VIL1,HNRNPK,PLCB4,PITPNM3,KIF4A,ATP6V1B2,PLCB1,DOCK2,MET,PFKP
22	MAST2	74.5	RB1,AHNAK,UHRF1,SYNE2,HSPD1,PDLIM2,EPB41L1,SALL3,PRX,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,MAGI2,AP3D1,ANK1,DUSP9,MPP7,CIT,ALDH4A1,SLC9A3,ALDH6A1,LATS2,NASP,PARD3,CDHR2,FDX1,MXRA7
23	LRRK1	74.83	RB1,USP6NL,CDKN1C,LRRK2,PTPRO,ARHGEF10L,FMN2,SYNE2,KIF15,DHX57,BLNK,CHGB,TNS1,PDGFRB,PDGFRA,DST,MYO7B,ANK2,ANK3,PDZK1,ANK1,HSPG2,DUSP9,CIT,PARD3B,SLC9A3,LATS2,PLCB4,MAP1B,PARD3,PPIF,ARHGEF7,PLCB1,SLC27A2,MET,RABL6,ARHGEF6,PLEC,TBC1D9B,RASAL3,RAP1GAP,HSPD1,ADGRG1,MYH10,SPTBN2,RANBP2,PKLR,PLCL1,MICAL3,L1CAM,PTPN13,MPP7,HNRNPK,TH,NASP,KIF4A,LHX1
24	AKT1	76.73	RB1,USP6NL,SCARB1,FOXI1,CALML3,MT1X,SLC4A4,MT2A,GRB14,BASP1,UBAP2L,ACAA1,LZTS2,ZNF687,CHGB,TNS1,PDGFRB,PDGFRA,DAXX,CASR,USP2,MAGI2,NPY1R,ANK2,WRNIP1,ANK3,PDZK1,ATP1B1,ANK1,HSPG2,SLC9A3,ILF3,MAP1B,PARD3,GPD1,PPIF,MT1F,MT1G,SLC27A2,SCG2,RABL6,TBC1D9B,RASAL3,RAP1GAP,PIK3R5,TGOLN2,SDCBP,ADGRG1,EPB41L1,EPB41L3,PCK1,HAO2,MYH10,FAM83B,SPTBN2,PCK2,GSTM3,CAV2,EPHX2,IDH1,CGN,HPS5,L1CAM,VIL1,GJB1,HNRNPK,TH,NASP,LHX1,KIF4A,ACO1,WRAP53,CDKN1C,TOP2A,LAD1,LRRK2,PTPRO,HSPB1,ARHGEF10L,FMN2,PTH1R,PEPD,TRIOBP,SYNE2,KIF15,PHF8,AKAP12,PRX,BLNK,CA9,NOS1,NEFH,FCER1G,SLC36A2,PARP4,MME,DST,DCXR,SORD,PROX1,OSMR,DUSP9,PRODH2,CIT,PARD3B,APBB1IP,GAP43,BDH2,PLCB4,LATS2,DDAH1,PALLD,PITPNM3,CDHR2,KCNMA1,PLIN2,ALDOB,PLCB1,DOCK2,ARHGEF7,SLC25A5,MET,FBP1,ARHGEF6,PLEC,TOR4A,TAGLN,DDC,AHNAK,UHRF1,PRUNE2,SLC3A1,LRP2,GRAMD4,HSPD1,BCLAF1,PDLIM2,TCOF1,NPY,RANBP2,SLC12A3,IRX2,GK,PKLR,PLCL1,AP3D1,PTPN13,SOD3,PLEKHA7,MPP7,ASS1,FABP1,RSL1D1,CENPF,NPHS1,NPHS2,PSAT1,GSTA1,ACIN1,LAMTOR1,LPIN2,TJP3,PFKP
25	CDK2	77.18	RB1,CDKN1C,TOP2A,LRRK2,PTPRO,FOXI1,HSPB1,ARHGEF10L,MT1X,FMN2,PTH1R,SIPA1L2,KIF15,PHF8,MT2A,BLNK,CA9,SPDL1,NEFH,TNS1,CHGB,PDGFRB,PDGFRA,DAXX,SLC13A3,PARP4,DST,USP2,MAGI2,SORD,WRNIP1,ANK2,PROX1,ANK3,OSMR,ANK1,DUSP9,MLF1,CIT,PARD3B,ILF3,LATS2,PITPNM3,PARD3,PPIF,ATP6V1B2,MT1F,MT1G,ARHGEF7,MET,SCG2,RABL6,ARHGEF6,PLEC,ATP6V1A,CDCA2,AHNAK,UHRF1,PRUNE2,NCAPG,WIZ,RAP1GAP,HSPD1,SDCBP,BCLAF1,PDLIM2,TCOF1,EPB41L3,MYH10,RANBP2,IRX1,SLC12A3,GSTM3,IRX2,IDH1,PTPN13,SOD3,PLEKHA7,ASS1,RSL1D1,CENPF,HNRNPK,SUCLA2,NASP,TH,NPHS1,PSAT1,LHX1,KIF4A,GSTA1,ACIN1,LPIN2,PFKP,WRAP53
26	PDGFRA	77.88	RB1,CDKN1C,TOP2A,TAGLN,ALDH1L1,LRRK2,PTH1R,LRP2,FTCD,SDCBP,GRB14,TCOF1,BLNK,BPNT1,TNS1,PDGFRB,PDGFRA,DAXX,MME,IDH1,PLCL1,MAGI2,PROX1,OSMR,ATP1B1,HSPG2,SLC9A3,GAP43,LATS2,PLCB4,NASP,NPHS1,PALLD,MAP1B,LHX1,ARHGEF7,DOCK2,PLCB1,MET
27	LYN	78.27	RB1,USP6NL,TOP2A,CDKN1C,LRRK2,PTPRO,HSPB1,ARHGEF10L,FMN2,GRB14,BLNK,TNS1,PDGFRB,PDGFRA,DAXX,FCER1G,MME,MYO7B,WRNIP1,PDZK1,OSMR,NPNT,DUSP9,HSPG2,ANK1,CIT,PARD3B,APBB1IP,LATS2,PLCB4,MAP1B,PARD3,KCNMA1,PLIN2,ARHGEF7,DOCK2,SLC25A5,PLCB1,MET,ARHGEF6,UHRF1,PRUNE2,RASAL3,PIK3R5,HSPD1,TGOLN2,SDCBP,EPB41L1,EPB41L3,GSTM3,PKLR,CAV2,PLCL1,PTPN13,L1CAM,SOD3,FABP1,VIL1,RSL1D1,HNRNPK,NPHS1,LHX1,KIF4A,ACIN1
28	CDK1	79.4	RB1,USP6NL,FOXI1,MT1X,CALML3,MT2A,GRB14,UBAP2L,TNS1,PDGFRB,PDGFRA,DAXX,USP2,NPY1R,ANK2,WRNIP1,ANK3,PDZK1,HDHD2,ANK1,SLC9A3,ILF3,MAP1B,PARD3,MT1F,PPIF,MT1G,ATP6V1A,CDCA2,NCAPG,RAP1GAP,SDCBP,EPB41L1,EPB41L3,MYH10,GSTM3,IDH1,EPHX2,MICAL3,HNRNPK,TH,NASP,KIF4A,LHX1,CDKN1C,TOP2A,LRRK2,PTPRO,HSPB1,FMN2,PEPD,SIPA1L2,SYNE2,TRIOBP,KIF15,PHF8,AKAP12,PCM1,PRX,BLNK,CA9,SPDL1,SLC13A3,DST,SORD,ZFP91,PROX1,DUSP9,CIT,MZT2B,LATS2,PALLD,PITPNM3,SLC25A5,ARHGEF7,PLCB1,DOCK2,MET,PLEC,TOR4A,AHNAK,UHRF1,LRP2,HSPD1,PDLIM2,TCOF1,RANBP2,IRX1,IRX2,AP3D1,PTPN13,SOD3,ASS1,RSL1D1,CENPF,PSAT1,ACIN1,LPIN2
29	BTK	79.82	RB1,CDKN1C,TOP2A,LRRK2,PTPRO,PTH1R,FMN2,GRB14,PRX,BLNK,TNS1,CHGB,PDGFRB,PDGFRA,DAXX,CASR,FCER1G,MME,DST,MAGI2,PDZK1,ANK3,ANK1,HSPG2,CIT,PARD3B,APBB1IP,LATS2,PLCB4,MAP1B,PARD3,KCNMA1,ALDOB,ARHGEF7,DOCK2,PLCB1,MET,ARHGEF6,UHRF1,NCAPG,RASAL3,RAP1GAP,PIK3R5,BCLAF1,PDLIM2,EPB41L3,GSTM3,PKLR,IDH1,PLCL1,L1CAM,PTPN13,MPP7,CENPF,HNRNPK,ACIN1
30	NTRK1	82	RB1,MTCH2,LRRK2,PTPRO,HSPB1,SOGA1,BICD1,KIF15,PCM1,GRB14,DHX57,BLNK,UBAP2L,NOS1,ZNF687,NEFH,TNS1,PDGFRB,PDGFRA,MME,SORD,NPY1R,ANK2,WRNIP1,PROX1,ANK3,PDZK1,ATP1B1,ANK1,HSPG2,PARD3B,ILF3,GAP43,PLCB4,LATS2,ILVBL,PALLD,MAP1B,PARD3,KCNMA1,ATP6V1B2,ARHGEF7,DOCK2,SLC25A5,PLCB1,MET,SCG2,RABL6,ATP6V1A,UHRF1,NCAPG,LRP2,HSPD1,BCLAF1,TCOF1,EPB41L1,NPY,MYH10,PCK2,RANBP2,PKLR,CAV2,IDH1,EPHX2,PLCL1,AP3D1,L1CAM,PTPN13,RSL1D1,HNRNPK,SUCLA2,NASP,TH,PSAT1,KIF4A,LHX1,ACIN1,ACO1,PFKP
31	TTN	84.5	RB1,TOP2A,LRRK2,HSPB1,CALML3,MT1X,FMN2,SYNE2,MT2A,CA9,NOS1,SPDL1,PDGFRB,PDGFRA,CASR,DST,USP2,MYO7B,ANK2,PROX1,ANK3,ATP1B1,ANK1,HSPG2,CIT,PLCB4,PALLD,PARD3,MAP1B,KCNMA1,GPD1,ALPK2,ARHGEF7,DOCK2,PLCB1,MET,FBP2,ARHGEF6,PLEC,AHNAK,NCAPG,KIAA1210,MYH10,SPTBN2,GSTM3,GK,CAV2,IDH1,AHNAK2,MICAL3,RSL1D1,LHX1,GSTA1,ACIN1
32	YES1	86	LRRK2,PTPRO,HSPB1,FMN2,KIF15,BLNK,NOS1,TNS1,PDGFRB,PDGFRA,FCER1G,DST,NPY1R,ANK2,ANK3,PDZK1,ANK1,HSPG2,CIT,PARD3B,APBB1IP,LATS2,PLCB4,PALLD,PARD3,KCNMA1,ARHGEF7,DOCK2,PLCB1,MET,PLEC,AHNAK,PRUNE2,RASAL3,EPB41L1,EPB41L3,MAP6,MYH10,SPTBN2,GSTM3,PKLR,CAV2,EPHX2,PLCL1,CGN,PTPN13,L1CAM,PLEKHA7,MPP7,CENPF,NPHS1,KIF4A,GSTA1,LPIN2,TJP3
